Date,Canadian Solar,Enphase Energy Inc,First Solar Inc,SolarEdge Technologies Inc,SunPower Corp,Sunrun Inc,Azure Power Global Ltd,Atlantica Sustainable Infrastructure PLC,JinkoSolar Holdings,Renewable Energy Group
01-12-2005,,,,,22.259333,,,,,
01-01-2006,,,,,26.195154,,,,,
01-02-2006,,,,,28.749182,,,,,
01-03-2006,,,,,24.990177,,,,,
01-04-2006,,,,,25.160444,,,,,
01-05-2006,,,,,19.901768,,,,,
01-06-2006,,,,,18.349705,,,,,
01-07-2006,,,,,20.910282,,,,,
01-08-2006,,,,,20.995417,,,,,
01-09-2006,,,,,18.16634,,,,,
01-10-2006,,,,,22.036673,,,,,
01-11-2006,,,,,24.440079,,,,,
01-12-2006,10.48,,"29,84",,24.341846,,,,,
01-01-2007,10.96,,29.84,,29.011133,,,,,
01-02-2007,11.13,,32.369999,,28.356255,,,,,
01-03-2007,9.75,,47.75,,29.796988,,,,,
01-04-2007,10.65,,52.009998,,39.738049,,,,,
01-05-2007,9.53,,59.990002,,34.977077,,,,,
01-06-2007,9.4,,68.040001,,41.290112,,,,,
01-07-2007,8.99,,89.290001,,46.188606,,,,,
01-08-2007,7.99,,112.57,,44.747871,,,,,
01-09-2007,9.44,,103.739998,,54.237064,,,,,
01-10-2007,11.07,,117.739998,,82.815979,,,,,
01-11-2007,15.72,,158.809998,,81.493126,,,,,
01-12-2007,28.15,,237.149994,,85.389656,,,,,
01-01-2008,18.48,,267.140015,,45.245579,,,,,
01-02-2008,18.950001,,181.770004,,43.038639,,,,,
01-03-2008,20.9,,205.149994,,48.795025,,,,,
01-04-2008,27.370001,,231.139999,,57.151276,,,,,
01-05-2008,39.709999,,291.98999,,53.595284,,,,,
01-06-2008,40.189999,,267.540009,,47.13818,,,,,
01-07-2008,28.77,,272.820007,,51.584808,,,,,
01-08-2008,32.419998,,285.029999,,63.88343,,,,,
01-09-2008,19.530001,,276.649994,,46.450558,,,,,
01-10-2008,9.68,,188.910004,,25.579569,,,,,
01-11-2008,5.56,,143.699997,,22.743942,,,,,
01-12-2008,6.46,,124.839996,,24.230516,,,,,
01-01-2009,5.46,,137.960007,,21.977734,,,,,
01-02-2009,3.59,,142.800003,,18.26457,,,,,
01-03-2009,5.98,,105.739998,,15.573019,,,,,
01-04-2009,6.55,,132.699997,,17.930582,,,,,
01-05-2009,13.23,,187.289993,,19.011133,,,,,
01-06-2009,12.12,,190.289993,,17.426327,,,,,
01-07-2009,14.54,,162.199997,,21.087099,,,,,
01-08-2009,14.74,,154.389999,,16.601179,,,,,
01-09-2009,17.219999,,121.580002,,19.574329,,,,,
01-10-2009,14.58,,152.860001,,16.247543,,,,,
01-11-2009,22.02,,121.93,,13.536346,,,,,
01-12-2009,28.82,,119.110001,,15.507531,,,,,
01-01-2010,21.129999,,135.399994,,13.35298,,,,,
01-02-2010,19.120001,,113.300003,,12.278978,,,,,
01-03-2010,24.32,,105.75,,12.292076,,,,,
01-04-2010,17.26,,122.650002,,10.870989,,,,,
01-05-2010,12.95,,143.979996,,8.664047,,,,,
01-06-2010,9.78,,112.360001,,7.924034,,,,9.7,
01-07-2010,12.1,,113.830002,,8.140144,,,,14.69,
01-08-2010,11.75,,125.449997,,7.066143,,,,24.719999,
01-09-2010,16.299999,,127.849998,,9.430255,,,,31.610001,
01-10-2010,13.97,,147.350006,,8.906352,,,,30.15,
01-11-2010,13.02,,137.679993,,7.629339,,,,22.969999,
01-12-2010,12.39,,122.849998,,8.402096,,,,20.120001,
01-01-2011,14.02,,130.139999,,8.801572,,,,26.110001,
01-02-2011,14.53,,154.580002,,11.178782,,,,28.18,
01-03-2011,11.28,,147.389999,,11.224623,,,,27,
