Year,Dates,CCMP Index,NYA Index,HSI Index,KRX Index,KOSPI Index,DAX Index,IBEX Index,SMI Index,TA-125 Index,CAC Index,TWSE Index
2005,30-11-2005,2232.82,7645.28,14937.14,98.24,1297.44,5193.4,10557.8,7407.52,790.55,4567.41,6203.47
2005,30-12-2005,2205.32,7753.95,14876.43,95.8,1379.37,5408.26,10733.9,7583.93,822.99,4715.23,6548.34
2006,31-01-2006,2305.82,8106.55,15753.14,97.05,1399.83,5674.15,11104.3,7810.88,844.41,4947.99,6532.18
2006,28-02-2006,2281.39,8060.61,15918.48,97.77,1371.59,5796.04,11740.7,7892.63,823.21,5000.45,6561.63
2006,31-03-2006,2339.79,8233.2,15805.04,99.25,1359.6,5970.08,11854.3,8023.3,835.78,5220.85,6613.97
2006,28-04-2006,2322.57,8471.43,16661.3,99.3,1419.73,6009.89,11892.5,8047.29,884.28,5188.4,7171.77
2006,31-05-2006,2178.88,8189.11,15857.89,97.4,1317.7,5692.86,11340.5,7604.4,868.87,4930.18,6846.95
2006,30-06-2006,2172.09,8169.07,16267.62,96.59,1295.15,5683.31,11548.1,7652.1,793.57,4965.96,6704.41
2006,31-07-2006,2091.47,8242.12,16971.34,97,1297.82,5681.97,11818,7941.83,815.47,5009.42,6454.58
2006,31-08-2006,2183.75,8388.56,17392.27,97.42,1352.74,5859.57,12144.7,8167.96,820,5165.04,6611.77
2006,29-09-2006,2258.43,8469.65,17543.05,97.84,1371.41,6004.33,12934.7,8425.91,846.09,5250.01,6883.05
2006,31-10-2006,2366.71,8774.98,18324.35,97.58,1364.55,6268.92,13753,8569.72,914.13,5348.73,7021.32
2006,30-11-2006,2431.77,8969,18960.48,99.26,1432.21,6309.19,13849.3,8484.57,936.13,5327.64,7567.72
2006,29-12-2006,2415.29,9139.02,19964.72,101.18,1434.46,6596.92,14146.5,8785.74,921.69,5541.76,7823.72
2007,31-01-2007,2463.93,9254.73,20106.42,99.65,1360.23,6789.11,14553.2,9135.11,958.26,5608.31,7699.64
2007,28-02-2007,2416.15,9124.54,19651.51,98.19,1417.34,6715.44,14248.4,8789.7,970,5516.32,7901.96
2007,30-03-2007,2421.64,9261.82,19800.93,96.73,1452.55,6917.03,14641.7,8976.99,994.5,5634.16,7884.41
2007,30-04-2007,2525.09,9627.73,20318.98,94,1542.24,7408.87,14374.6,9428.27,1066.56,5960.04,7875.42
2007,31-05-2007,2604.52,9978.64,20634.47,95.68,1700.91,7883.04,15329.4,9450.85,1117.02,6104,8144.95
2007,29-06-2007,2603.23,9873.02,21772.73,93.02,1743.6,8007.32,14892,9209.36,1102.19,6054.93,8883.21
2007,31-07-2007,2545.57,9554.5,23184.94,84.04,1933.27,7584.14,14802.4,8885.04,1103.1,5751.08,9287.25
2007,31-08-2007,2596.36,9596.98,23984.14,90.16,1873.24,7638.17,14479.8,8881.46,1034.67,5662.7,8982.16
2007,28-09-2007,2701.5,10039.28,27142.47,89.29,1946.48,7861.51,14576.5,8933.48,1110.25,5715.69,9476.52
2007,31-10-2007,2859.12,10311.61,31352.58,85.09,2064.85,8019.22,15890.5,9019.57,1189.04,5847.95,9711.37
2007,30-11-2007,2660.96,9856.85,28643.61,80.81,1906,7870.52,15759.9,8828.36,1133.11,5670.57,8586.4
2007,31-12-2007,2652.28,9740.32,27812.65,76.46,1897.13,8067.32,15182.3,8484.46,1154.59,5614.08,8506.28
2008,31-01-2008,2389.86,9126.16,23455.74,79.62,1624.68,6851.75,13229,7670.44,1003.47,4869.79,7521.13
2008,29-02-2008,2271.48,8962.46,24331.67,69.47,1711.62,6748.13,13170.4,7533.86,1034.01,4790.66,8412.76
2008,31-03-2008,2279.1,8797.29,22849.2,71.71,1703.99,6534.97,13269,7224.31,928.06,4707.07,8572.59
2008,30-04-2008,2412.8,9299.6,25755.35,70.03,1825.47,6948.82,13798.3,7529,996.17,4996.54,8919.92
2008,30-05-2008,2522.66,9401.08,24533.12,67.04,1852.02,7096.79,13600.9,7511.29,1035.68,5014.28,8619.08
2008,30-06-2008,2292.98,8660.48,22102.01,53.93,1674.92,6418.32,12046.2,6958.51,987.51,4434.85,7523.54
2008,31-07-2008,2325.55,8438.64,22731.1,61.26,1594.67,6479.56,11881.3,7141.21,948.06,4392.36,7024.06
2008,29-08-2008,2367.52,8382.08,21261.89,65,1474.24,6422.3,11707.3,7238.74,918.28,4482.6,7046.11
2008,30-09-2008,2091.88,7532.8,18016.21,72.03,1448.06,5831.02,10987.5,6654.89,803.81,4032.1,5719.28
2008,31-10-2008,1720.95,6061.09,13968.67,65.87,1113.06,4987.97,9116,6153.21,645.69,3487.07,4870.66
2008,28-11-2008,1535.57,5599.3,13888.24,59.8,1076.07,4669.44,8910.6,5816.6,592.94,3262.68,4460.49
2008,31-12-2008,1577.03,5757.05,14387.48,59.9,1124.47,4810.2,9195.8,5534.53,564.09,3217.97,4591.22
2009,30-01-2009,1476.42,5195.79,13278.21,42.29,1162.11,4338.35,8450.4,5290.05,599.97,2973.92,4247.97
2009,27-02-2009,1377.84,4617.03,12811.57,36.87,1063.03,3843.74,7620.9,4690.67,603.69,2702.48,4557.15
2009,31-03-2009,1528.59,4978.98,13576.02,39.51,1206.26,4084.76,7815,4927.43,666.14,2807.34,5210.84
2009,30-04-2009,1717.3,5513.36,15520.99,42.53,1369.36,4769.45,9038,5225.92,745.25,3159.85,5992.57
2009,29-05-2009,1774.33,6004.07,18171,40.79,1395.89,4940.82,9424.3,5349.74,807.99,3277.65,6890.44
2009,30-06-2009,1835.04,5905.15,18378.73,37.42,1390.07,4808.64,9787.8,5403.97,801.26,3140.44,6432.16
2009,31-07-2009,1978.5,6424.28,20573.33,42.49,1557.29,5332.14,10855.1,5950.69,884.69,3426.27,7077.71
2009,31-08-2009,2009.06,6643.24,19724.19,43.2,1591.85,5464.61,11365.1,6217.12,883.76,3653.54,6825.95
2009,30-09-2009,2122.42,6910.88,20955.25,43.55,1673.14,5675.16,11756.1,6323.18,927.7,3795.41,7509.17
2009,30-10-2009,2045.11,6739.45,21752.87,41.64,1580.69,5414.96,11414.8,6285.76,957.33,3607.69,7340.08
