Year,Renewable energy consumption (% of total final energy consumption),Electricity production from renewable sources excluding hydroelectric (% of total),Electricity production from renewable sources excluding hydroelectric (kWh),Renewable electricity output (% of total electricity output)
2000,5.429623689,1.91659722,77160000000,8.205996942
2001,4.67857121,1.880103604,72174000000,6.783992314
2002,4.840779184,2.014281247,81103000000,8.646361178
2003,5.326282274,2.018029181,81824000000,8.889376121
2004,5.477656518,2.094197798,86869000000,8.630185532
2005,5.841090873,2.196357036,93760000000,8.578465534
2006,6.396513971,2.417303722,1.03E+11,9.244631183
2007,6.304128198,2.594778112,1.12E+11,8.367763936
2008,6.845540835,3.092530935,1.34E+11,9.003541347
2009,7.354404755,3.675665813,1.53E+11,10.29184507
2010,7.505172055,4.097292761,1.78E+11,10.12035515
2011,8.164451646,4.789611326,2.07E+11,12.22571352
2012,8.481450408,5.486241256,2.34E+11,12.00739706
2013,8.713261573,6.320009218,2.71E+11,12.63791912
2014,8.754308954,6.900028617,2.98E+11,12.95382709
2015,8.716935867,7.386954951,3.17E+11,13.22859321
